,extended,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,individual,weaptype1,nkill,property,ishostkid,gname
0,0,0,0.0,1,0,3,2,1533,0,6,0.0,1,0.0,Shining Path (SL)
1,0,0,0.0,0,0,3,20,6,0,6,0.0,0,0.0,Abu Sayyaf Group (ASG)
2,0,0,0.0,1,0,2,4,672,0,5,0.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
3,0,1,1.0,1,0,2,19,56,0,8,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
4,0,0,0.0,1,0,1,2,485,0,9,1.0,-9,1.0,Communist Party of India - Maoist (CPI-Maoist)
5,0,0,0.0,1,0,2,1,1236,0,5,3.0,1,0.0,National Liberation Army of Colombia (ELN)
6,0,0,0.0,1,0,3,2,125,0,6,0.0,1,0.0,African National Congress (South Africa)
7,0,0,0.0,1,0,7,1,1353,0,5,0.0,1,0.0,Nicaraguan Democratic Force (FDN)
8,0,0,0.0,1,0,3,3,349,0,6,2.0,1,0.0,Basque Fatherland and Freedom (ETA)
9,0,0,0.0,1,0,5,14,1265,0,5,0.0,1,1.0,New People's Army (NPA)
10,0,0,0.0,0,0,1,2,408,0,8,0.0,0,0.0,Basque Fatherland and Freedom (ETA)
11,0,0,0.0,1,0,3,21,1540,0,6,1.0,1,0.0,Shining Path (SL)
12,0,0,0.0,0,0,3,14,1391,0,6,0.0,1,0.0,Palestinians
13,0,0,0.0,1,0,3,4,0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
14,0,0,0.0,1,0,3,14,906,0,6,0.0,1,0.0,Kurdistan Workers' Party (PKK)
15,0,0,1.0,1,0,2,14,13,0,5,2.0,0,0.0,Fulani extremists
16,0,0,0.0,1,0,3,15,192,0,6,0.0,0,0.0,Al-Qaida in Iraq
17,0,0,0.0,1,0,3,1,120,0,6,0.0,1,0.0,African National Congress (South Africa)
18,0,0,0.0,1,1,3,4,273,0,6,1.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
19,0,0,1.0,1,1,3,1,203,0,6,20.0,1,0.0,Al-Qaida in Iraq
20,0,0,0.0,1,0,1,2,1630,0,5,2.0,0,0.0,Sikh Extremists
21,0,0,0.0,1,0,3,3,1030,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
22,0,0,1.0,1,0,7,6,425,0,9,0.0,1,0.0,Kurdistan Workers' Party (PKK)
23,0,0,1.0,0,0,2,1,268,0,5,0.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
24,0,1,0.0,1,0,3,19,1357,0,5,3.0,1,0.0,Nicaraguan Democratic Force (FDN)
25,0,0,0.0,1,0,1,8,919,0,5,4.0,0,0.0,Kurdistan Workers' Party (PKK)
26,0,0,1.0,0,0,3,18,43,0,6,0.0,0,0.0,Abu Sayyaf Group (ASG)
27,0,0,0.0,1,0,3,2,495,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
28,0,0,0.0,1,0,7,1,1268,0,8,0.0,1,0.0,New People's Army (NPA)
29,0,0,0.0,1,0,3,1,635,0,6,0.0,1,0.0,Irish Republican Army (IRA)
30,0,1,0.0,1,0,3,2,1122,0,6,0.0,1,0.0,Maoists
31,0,0,1.0,1,0,3,10,1804,0,5,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
32,0,0,0.0,0,1,3,4,48,0,6,15.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
33,1,0,0.0,1,0,6,1,1496,0,5,0.0,0,1.0,Revolutionary Armed Forces of Colombia (FARC)
34,0,0,0.0,1,0,2,3,1140,0,8,3.0,1,0.0,Taliban
35,0,0,0.0,1,0,3,3,486,0,6,1.0,-9,0.0,Communist Party of India - Maoist (CPI-Maoist)
36,0,0,0.0,1,0,2,14,447,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
37,0,0,0.0,1,0,2,4,678,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
38,0,0,1.0,1,0,3,2,403,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
39,0,0,0.0,1,0,1,1,1633,0,5,1.0,0,0.0,Sikh Extremists
40,0,0,0.0,1,0,3,4,769,0,6,0.0,1,0.0,Houthi extremists (Ansar Allah)
41,0,0,0.0,1,0,3,19,650,0,6,2.0,1,0.0,Donetsk People's Republic
42,0,0,0.0,1,0,3,21,674,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
43,0,0,0.0,1,0,3,4,108,0,6,0.0,1,0.0,African National Congress (South Africa)
44,0,0,0.0,1,0,3,14,890,0,6,2.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
45,0,0,0.0,1,0,3,14,190,0,6,0.0,1,0.0,Al-Qaida in Iraq
46,0,0,1.0,1,0,7,14,27,0,8,2.0,1,0.0,Fulani extremists
47,0,0,0.0,1,0,1,14,784,0,5,1.0,0,0.0,Irish Republican Army (IRA)
48,0,1,0.0,1,0,2,19,296,0,5,5.0,1,0.0,Al-Shabaab
49,0,0,0.0,0,1,3,1,888,0,6,0.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
50,0,0,0.0,1,0,3,4,787,0,6,1.0,1,0.0,Irish Republican Army (IRA)
51,0,0,0.0,1,0,3,19,395,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
52,0,0,0.0,1,0,2,4,369,0,5,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
53,0,0,0.0,1,0,2,14,1732,0,5,1.0,0,0.0,Tehrik-i-Taliban Pakistan (TTP)
54,0,0,0.0,1,0,2,3,1480,0,5,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
55,0,0,0.0,1,0,3,21,97,0,6,1.0,1,0.0,African National Congress (South Africa)
56,0,0,0.0,1,0,2,3,507,0,5,5.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
57,0,0,0.0,1,0,7,1,514,0,5,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
58,0,0,1.0,1,0,3,3,872,0,6,0.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
59,0,0,0.0,1,0,1,14,817,0,5,1.0,0,0.0,Irish Republican Army (IRA)
60,0,0,1.0,1,0,2,3,234,0,5,22.0,-9,0.0,Taliban
61,0,0,0.0,1,0,3,14,1735,0,6,0.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
62,0,0,0.0,1,0,2,4,672,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
63,0,0,1.0,1,0,2,8,733,0,5,2.0,-9,0.0,Fulani extremists
64,0,0,0.0,1,0,2,8,1648,0,5,0.0,1,0.0,Sikh Extremists
65,0,0,0.0,1,0,1,3,1503,0,5,2.0,0,0.0,Revolutionary Armed Forces of Colombia (FARC)
66,0,0,1.0,1,0,2,4,1679,0,5,0.0,1,0.0,Taliban
67,0,0,1.0,1,0,3,10,1804,0,5,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
68,0,0,1.0,1,0,3,1,6,0,6,5.0,1,0.0,Abu Sayyaf Group (ASG)
69,0,0,0.0,1,0,3,4,250,0,6,45.0,-9,0.0,Boko Haram
70,0,0,0.0,1,0,2,4,332,0,5,4.0,1,0.0,Kurdistan Workers' Party (PKK)
71,0,0,0.0,1,0,3,15,1203,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
72,0,0,0.0,1,0,3,1,590,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
73,0,0,0.0,1,0,1,7,1158,0,5,3.0,0,0.0,Muslim extremists
74,0,0,1.0,1,0,2,4,48,0,6,1.0,1,0.0,Taliban
75,0,0,0.0,1,0,3,8,51,0,6,3.0,-9,0.0,Muslim extremists
76,0,1,0.0,1,0,3,3,1093,0,6,0.0,0,0.0,Maoists
77,1,0,0.0,1,0,6,14,545,0,5,0.0,0,1.0,Communist Party of India - Maoist (CPI-Maoist)
78,0,0,1.0,1,0,3,1,1164,0,6,0.0,0,0.0,Muslim extremists
79,0,0,0.0,1,0,3,1,37,0,6,0.0,-9,0.0,Abu Sayyaf Group (ASG)
80,0,0,1.0,1,0,2,3,20,0,5,4.0,0,0.0,Al-Qaida in Iraq
81,0,0,0.0,1,0,3,21,1228,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
82,0,0,1.0,1,0,3,21,231,0,6,0.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
83,0,1,0.0,1,0,3,4,882,0,6,0.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
84,0,0,0.0,1,0,2,3,282,0,5,0.0,-9,0.0,Muslim extremists
85,0,0,1.0,1,0,3,1,1037,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
86,0,0,0.0,1,0,2,4,672,0,5,75.0,1,0.0,Nicaraguan Democratic Force (FDN)
87,0,0,0.0,1,0,3,14,447,0,6,1.0,-9,0.0,Houthi extremists (Ansar Allah)
88,0,0,0.0,1,0,2,4,672,0,5,34.0,1,0.0,Nicaraguan Democratic Force (FDN)
89,0,0,0.0,1,0,3,7,1808,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
90,0,0,0.0,1,0,3,1,816,0,6,0.0,1,0.0,Irish Republican Army (IRA)
91,0,0,1.0,1,0,3,1,578,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
92,0,0,0.0,1,0,1,4,368,0,5,1.0,0,0.0,Basque Fatherland and Freedom (ETA)
93,0,0,1.0,1,0,3,1,399,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
94,0,0,0.0,1,0,3,3,880,0,6,0.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
95,0,0,0.0,1,0,3,4,803,0,6,1.0,1,0.0,Irish Republican Army (IRA)
96,0,0,0.0,1,1,3,4,217,0,6,11.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
97,1,0,0.0,1,0,6,14,1114,0,9,1.0,0,1.0,Maoists
98,0,1,0.0,1,0,2,4,1106,0,5,10.0,0,0.0,Maoists
99,0,0,0.0,1,0,3,4,59,0,6,0.0,1,0.0,New People's Army (NPA)
100,0,0,1.0,1,0,3,21,1035,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
101,0,0,1.0,1,1,3,14,177,0,6,4.0,1,0.0,Boko Haram
102,0,0,0.0,1,0,1,14,1616,0,5,3.0,0,0.0,Sikh Extremists
103,0,0,0.0,1,0,3,3,291,0,6,2.0,1,0.0,Sikh Extremists
104,0,1,1.0,1,0,3,9,1825,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
105,0,0,1.0,1,0,3,4,20,0,6,5.0,1,0.0,Al-Qaida in Iraq
106,0,0,0.0,1,0,2,4,672,0,5,10.0,1,0.0,Nicaraguan Democratic Force (FDN)
107,0,1,0.0,1,0,2,4,234,0,5,11.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
108,0,0,0.0,1,0,3,1,695,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
109,0,0,0.0,1,1,3,3,200,0,6,34.0,-9,0.0,Al-Qaida in Iraq
110,0,0,1.0,1,0,2,3,20,0,5,1.0,0,0.0,Muslim extremists
111,0,0,1.0,1,0,3,21,685,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
112,1,0,1.0,1,0,6,14,27,0,8,1.0,1,1.0,Boko Haram
113,0,0,0.0,1,0,2,3,12,0,5,3.0,0,0.0,Boko Haram
114,0,1,0.0,1,1,3,20,6,0,6,3.0,0,0.0,Tehrik-i-Taliban Pakistan (TTP)
115,0,0,0.0,1,0,2,4,699,0,5,2.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
116,0,0,0.0,1,0,3,4,698,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
117,0,0,0.0,1,0,1,14,823,0,5,1.0,0,0.0,Irish Republican Army (IRA)
118,0,0,0.0,1,0,8,8,742,0,9,0.0,0,0.0,Houthi extremists (Ansar Allah)
119,0,0,0.0,1,1,3,17,876,0,6,78.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
120,0,0,0.0,1,0,1,2,1504,0,5,2.0,0,0.0,Revolutionary Armed Forces of Colombia (FARC)
121,0,0,1.0,1,0,3,1,399,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
122,0,0,1.0,1,0,3,14,182,0,6,14.0,0,0.0,Al-Qaida in Iraq
123,0,0,0.0,1,0,2,4,672,0,5,3.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
124,0,0,1.0,1,0,3,14,13,0,6,0.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
125,0,0,0.0,1,0,2,4,1214,0,5,1.0,1,0.0,National Liberation Army of Colombia (ELN)
126,0,0,0.0,1,0,3,14,515,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
127,0,0,0.0,1,0,3,4,48,0,6,0.0,0,0.0,Taliban
128,0,0,0.0,0,1,1,2,248,0,6,1.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
129,0,1,0.0,1,0,2,4,258,0,5,11.0,1,0.0,Kurdistan Workers' Party (PKK)
130,0,0,0.0,1,0,2,4,332,0,5,8.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
131,0,0,0.0,1,0,3,4,312,0,6,0.0,1,0.0,Al-Shabaab
132,0,0,0.0,1,0,2,4,189,0,5,1.0,1,0.0,Al-Shabaab
133,0,0,0.0,1,0,3,12,1691,0,6,2.0,1,0.0,Taliban
134,0,0,1.0,1,0,3,14,13,0,6,6.0,1,0.0,Al-Qaida in Iraq
135,0,0,0.0,1,0,1,14,734,0,5,1.0,1,0.0,Fulani extremists
136,0,0,0.0,1,0,3,1,1051,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
137,0,0,1.0,1,0,2,14,27,0,5,2.0,1,0.0,Fulani extremists
138,0,0,0.0,1,0,7,1,315,0,8,0.0,1,0.0,Al-Shabaab
139,0,0,0.0,1,0,3,3,1026,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
140,0,0,0.0,1,0,3,1,400,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
141,0,0,1.0,1,0,3,1,581,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
142,0,0,0.0,1,0,3,2,1064,0,6,1.0,1,0.0,Sikh Extremists
143,0,0,0.0,1,0,3,1,372,0,6,0.0,-9,0.0,Basque Fatherland and Freedom (ETA)
144,0,0,1.0,1,0,3,3,886,0,6,0.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
145,0,0,1.0,1,0,3,2,25,0,6,3.0,1,0.0,Abu Sayyaf Group (ASG)
146,0,0,1.0,1,0,3,1,1160,0,6,0.0,1,0.0,Muslim extremists
147,0,1,0.0,1,0,2,14,13,0,5,0.0,-9,0.0,Taliban
148,0,0,0.0,1,0,2,3,441,0,5,1.0,-9,0.0,Boko Haram
149,0,0,0.0,1,0,2,3,512,0,5,1.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
150,0,0,0.0,1,0,3,2,104,0,6,0.0,1,0.0,African National Congress (South Africa)
151,0,0,0.0,1,0,3,1,13,0,6,2.0,1,0.0,Abu Sayyaf Group (ASG)
152,0,0,0.0,1,0,7,19,398,0,8,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
153,0,0,0.0,1,0,7,1,800,0,8,0.0,1,0.0,Irish Republican Army (IRA)
154,0,0,0.0,1,0,2,2,525,0,5,1.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
155,0,0,0.0,1,0,3,2,249,0,6,0.0,1,0.0,Al-Shabaab
156,0,0,0.0,1,0,1,3,352,0,5,2.0,0,0.0,Basque Fatherland and Freedom (ETA)
157,0,0,0.0,0,0,2,3,1110,0,5,0.0,0,0.0,Maoists
158,0,0,0.0,1,0,3,3,146,0,6,0.0,1,0.0,African National Congress (South Africa)
159,0,0,1.0,1,0,7,1,658,0,5,1.0,1,0.0,Donetsk People's Republic
160,0,1,0.0,1,0,2,4,48,0,6,0.0,-9,0.0,Donetsk People's Republic
161,0,0,0.0,1,0,2,4,234,0,5,1.0,-9,0.0,New People's Army (NPA)
162,0,0,0.0,1,0,3,4,12,0,6,1.0,0,0.0,Maoists
163,0,0,0.0,1,0,2,14,1376,0,8,0.0,1,0.0,Palestinians
164,0,0,0.0,1,0,3,20,582,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
165,0,0,0.0,1,0,3,3,85,0,6,0.0,1,0.0,Maoists
166,0,0,0.0,1,0,2,4,20,0,5,1.0,-9,0.0,Tehrik-i-Taliban Pakistan (TTP)
167,0,0,0.0,0,0,7,2,1374,0,8,0.0,1,0.0,Palestinians
168,1,0,0.0,1,0,1,12,1168,0,5,1.0,0,1.0,Muslim extremists
169,0,1,0.0,1,0,3,3,132,0,6,0.0,1,0.0,African National Congress (South Africa)
170,0,1,0.0,0,0,2,7,206,0,5,0.0,-9,0.0,Al-Qaida in Iraq
171,0,0,0.0,1,0,3,21,1234,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
172,0,0,1.0,1,0,2,4,20,0,6,1.0,0,0.0,Muslim extremists
173,0,0,1.0,1,0,3,14,346,0,6,0.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
174,0,0,1.0,1,1,3,3,217,0,6,1.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
175,0,0,0.0,1,0,3,1,399,0,6,1.0,1,0.0,Irish Republican Army (IRA)
176,0,0,0.0,1,0,2,14,696,0,5,1.0,1,1.0,Farabundo Marti National Liberation Front (FMLN)
177,0,0,0.0,1,0,3,2,915,0,6,1.0,1,0.0,Kurdistan Workers' Party (PKK)
178,0,0,0.0,0,0,1,2,243,0,5,0.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
179,0,0,0.0,1,0,7,1,1296,0,8,0.0,1,0.0,New People's Army (NPA)
180,0,0,0.0,1,0,3,15,1399,0,6,0.0,1,0.0,Palestinians
181,0,0,0.0,1,0,2,2,1338,0,5,5.0,1,0.0,Nicaraguan Democratic Force (FDN)
182,0,0,0.0,1,0,2,4,189,0,5,1.0,0,0.0,Taliban
183,0,0,1.0,0,0,3,3,354,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
184,0,0,0.0,1,0,3,1,49,0,6,2.0,-9,0.0,Abu Sayyaf Group (ASG)
185,0,0,1.0,1,0,2,14,13,0,6,17.0,0,0.0,Boko Haram
186,0,0,0.0,1,0,2,14,27,0,5,5.0,0,0.0,Fulani extremists
187,0,0,0.0,1,0,2,4,332,0,5,3.0,1,0.0,National Liberation Army of Colombia (ELN)
188,0,0,0.0,1,0,2,4,672,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
189,0,0,0.0,1,0,6,3,929,0,5,90.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
190,0,0,0.0,1,0,3,7,1411,0,6,0.0,1,0.0,Palestinians
191,0,1,0.0,1,0,7,1,918,0,5,0.0,1,0.0,Kurdistan Workers' Party (PKK)
192,0,0,1.0,1,0,1,14,1404,0,5,1.0,0,0.0,Palestinians
193,0,0,0.0,0,0,3,20,6,0,6,0.0,0,0.0,Maoists
194,0,0,0.0,0,0,3,20,6,0,6,0.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
195,0,0,0.0,1,0,2,4,291,0,5,9.0,0,0.0,Taliban
196,0,0,0.0,1,0,2,4,332,0,5,19.0,1,0.0,Kurdistan Workers' Party (PKK)
197,0,0,0.0,1,0,3,4,217,0,6,0.0,0,0.0,Houthi extremists (Ansar Allah)
198,0,0,1.0,1,0,2,14,27,0,5,2.0,1,0.0,Fulani extremists
199,0,0,1.0,1,0,2,14,802,0,5,0.0,0,0.0,Irish Republican Army (IRA)
200,0,0,0.0,1,0,3,3,825,0,6,1.0,1,0.0,Irish Republican Army (IRA)
201,0,0,0.0,1,0,3,1,818,0,6,0.0,1,0.0,Irish Republican Army (IRA)
202,0,0,0.0,1,0,3,14,1414,0,6,0.0,1,0.0,Palestinians
203,0,0,0.0,1,0,3,14,1390,0,6,0.0,1,0.0,Palestinians
204,0,0,0.0,1,0,2,4,332,0,5,1.0,1,0.0,Kurdistan Workers' Party (PKK)
205,0,1,0.0,1,0,3,4,1119,0,6,0.0,0,0.0,Maoists
206,0,0,0.0,1,0,3,14,962,0,6,8.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
207,0,0,0.0,1,0,6,2,1121,0,5,0.0,0,1.0,Maoists
208,1,0,0.0,1,0,6,14,1293,0,5,1.0,0,1.0,New People's Army (NPA)
209,0,0,1.0,1,0,2,14,1557,0,5,0.0,1,0.0,Shining Path (SL)
210,0,0,0.0,1,0,3,3,12,0,6,0.0,-9,0.0,Maoists
211,0,0,1.0,1,0,7,9,648,0,5,1.0,1,0.0,Donetsk People's Republic
212,0,0,1.0,1,0,1,14,1618,0,5,1.0,0,0.0,Sikh Extremists
213,0,0,0.0,1,0,2,14,27,0,5,5.0,0,0.0,Fulani extremists
214,0,0,0.0,1,0,1,14,1382,0,9,1.0,0,0.0,Palestinians
215,0,0,1.0,1,0,3,21,693,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
216,0,1,0.0,1,0,2,3,332,0,5,1.0,1,0.0,Sikh Extremists
217,0,0,1.0,1,0,3,14,595,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
218,0,0,0.0,1,0,3,3,957,0,6,0.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
219,0,0,0.0,1,0,2,14,1112,0,5,1.0,0,0.0,Maoists
220,0,0,0.0,1,0,3,4,641,0,6,0.0,1,0.0,Donetsk People's Republic
221,0,0,0.0,0,0,2,4,927,0,5,0.0,-9,0.0,Kurdistan Workers' Party (PKK)
222,0,0,1.0,1,0,2,14,27,0,5,4.0,0,0.0,Fulani extremists
223,0,0,1.0,1,0,2,19,56,0,8,0.0,1,0.0,Shining Path (SL)
224,0,0,0.0,1,0,1,2,1152,0,5,1.0,0,0.0,Muslim extremists
225,0,0,0.0,0,0,3,20,6,0,6,0.0,0,0.0,Maoists
226,0,0,0.0,1,0,3,4,12,0,6,0.0,0,0.0,New People's Army (NPA)
227,0,0,0.0,1,0,3,4,258,0,6,0.0,0,0.0,Al-Shabaab
228,0,0,0.0,1,0,3,19,970,0,6,1.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
229,0,0,0.0,1,0,3,3,1099,0,6,2.0,1,0.0,Maoists
230,0,0,0.0,1,0,3,14,250,0,6,0.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
231,0,0,1.0,1,0,3,15,1203,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
232,0,0,0.0,1,0,2,2,239,0,5,2.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
233,0,0,0.0,1,0,2,4,672,0,5,12.0,1,0.0,Nicaraguan Democratic Force (FDN)
234,0,0,0.0,1,0,2,2,1498,0,5,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
235,0,0,0.0,1,0,2,4,1264,0,5,4.0,1,0.0,New People's Army (NPA)
236,0,0,0.0,1,0,3,3,384,0,6,1.0,1,0.0,Basque Fatherland and Freedom (ETA)
237,0,0,0.0,1,0,3,3,377,0,6,8.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
238,0,0,0.0,1,1,3,4,1677,0,6,10.0,1,0.0,Taliban
239,1,0,0.0,1,0,6,14,966,0,5,18.0,0,1.0,Liberation Tigers of Tamil Eelam (LTTE)
240,0,0,1.0,1,1,3,14,177,0,6,8.0,-9,0.0,Boko Haram
241,0,0,0.0,1,0,3,3,106,0,6,0.0,1,0.0,African National Congress (South Africa)
242,0,0,1.0,1,0,3,1,373,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
243,0,0,0.0,1,1,3,2,1706,0,6,2.0,0,0.0,Taliban
244,1,0,1.0,1,0,6,14,1506,0,5,1.0,0,1.0,Revolutionary Armed Forces of Colombia (FARC)
245,0,0,0.0,1,0,3,21,1796,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
246,0,0,0.0,1,0,1,14,1624,0,5,4.0,0,0.0,Sikh Extremists
247,0,0,0.0,1,0,1,8,935,0,5,1.0,0,0.0,Kurdistan Workers' Party (PKK)
248,0,0,0.0,1,0,2,14,526,0,9,1.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
249,0,0,0.0,1,0,3,19,650,0,6,13.0,1,0.0,Donetsk People's Republic
250,0,0,1.0,1,0,3,4,12,0,6,1.0,0,0.0,Tehrik-i-Taliban Pakistan (TTP)
251,0,0,0.0,1,0,7,15,923,0,8,0.0,1,0.0,Kurdistan Workers' Party (PKK)
252,0,0,1.0,1,0,3,1,1797,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
253,0,0,1.0,1,0,3,21,231,0,6,0.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
254,0,0,0.0,1,0,1,14,1384,0,9,1.0,0,0.0,Palestinians
255,0,1,0.0,1,0,3,4,1484,0,6,1.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
256,0,0,1.0,1,0,2,14,27,0,5,3.0,0,0.0,Fulani extremists
257,0,0,1.0,1,0,1,14,1618,0,5,1.0,0,0.0,Sikh Extremists
258,0,0,1.0,1,0,3,14,623,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
259,0,0,0.0,1,0,3,17,1157,0,6,1.0,-9,0.0,Muslim extremists
260,0,0,1.0,1,0,2,14,27,0,5,2.0,1,0.0,Fulani extremists
261,0,0,0.0,1,0,3,14,402,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
262,0,0,1.0,1,0,3,1,399,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
263,1,0,1.0,1,0,6,14,27,0,5,5.0,1,1.0,Fulani extremists
264,0,0,0.0,1,0,2,4,1276,0,5,4.0,1,0.0,New People's Army (NPA)
265,0,0,0.0,0,0,3,6,1473,0,6,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
266,0,0,0.0,1,0,6,4,249,0,5,19.0,0,1.0,Al-Shabaab
267,0,0,0.0,1,0,8,14,1113,0,9,1.0,0,1.0,Maoists
268,0,0,0.0,1,0,2,14,27,0,5,5.0,1,0.0,Fulani extremists
269,1,0,0.0,1,0,6,7,1218,0,5,0.0,0,1.0,National Liberation Army of Colombia (ELN)
270,0,0,0.0,1,1,3,14,13,0,6,62.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
271,0,0,0.0,1,0,3,4,1117,0,6,12.0,0,0.0,Maoists
272,0,0,0.0,1,0,3,2,217,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
273,0,0,0.0,1,0,3,4,108,0,6,1.0,1,0.0,African National Congress (South Africa)
274,0,0,1.0,1,0,3,8,51,0,6,0.0,1,0.0,Shining Path (SL)
275,0,0,0.0,1,0,3,10,1561,0,6,0.0,1,0.0,Shining Path (SL)
276,0,0,0.0,1,0,3,4,291,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
277,0,0,0.0,1,0,3,7,365,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
278,0,0,0.0,1,0,3,3,346,0,6,1.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
279,0,0,0.0,1,0,2,14,1282,0,5,1.0,0,0.0,New People's Army (NPA)
280,0,0,0.0,1,0,3,21,1204,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
